code,PORTEFEUILLE,TITRE,DESCRIPTION,CLASSE,Quantité_Actif,COURS,Valo_Titre_CV,POIDS,ACTIF_NET_NET
001068,001,068,FCP ATTIJARI VALEURS ESG,OPC,80155,175.72,14084836.6,1.2741830740926%,1105401326.26
001075,001,075,FCP WG MOMENTUM FACTOR FUND ,OPC,30000,174.67,5240100,0.4740450255953%,1105401326.26
0011001,001,1001,SONASID,ACT,5985,1985,11880225,1.07474314692523%,1105401326.26
0011003,001,1003,MAROC LEASING ,ACT,10828,370.95,4016646.6,0.363365458732519%,1105401326.26
0011035,001,1035,CREDIT EQDOM,ACT,5459,1380,7533420,0.681509947657515%,1105401326.26
0011036,001,1036,SOCIETE DE BOISSONS DU MAROC,ACT,374,2209,826166,0.0747390092967628%,1105401326.26
0011038,001,1038,CDM,ACT,18026,1040,18747040,1.69594875224444%,1105401326.26
0011050,001,1050,CIMENTS DU MAROC,ACT,28533,1737,49561821,4.48360426413516%,1105401326.26
0011080,001,1080,SAMIR ,ACT,11363,0,0,0%,1105401326.26
0011081,001,1081,BMCI,ACT,12458,629,7836082,0.708890229624791%,1105401326.26
0011092,001,1092,WAFA ASSURANCE,ACT,12896,4900,63190400,5.71651204850618%,1105401326.26
0011095,001,1095,AFRIQUIA GAZ ,ACT,3263,4099,13375037,1.20997113738346%,1105401326.26
0011099,001,1099,REBAB COMPANY ,ACT,544,107,58208,0.00526577982287575%,1105401326.26
0011105,001,1105,MANAGEM,ACT,11547,7550,87179850,7.88671480022221%,1105401326.26
0011142,001,1142,DARI,ACT,2249,4300,9670700,0.874858729609066%,1105401326.26
0011145,001,1145,CIH,ACT,86850,400,34740000,3.14274998362259%,1105401326.26
0011146,001,1146,RISMA,ACT,9299,370,3440630,0.311256185266303%,1105401326.26
0011148,001,1148,ITISSALAT AL MAGHRIB,ACT,741206,106.85,79197861.1,7.16462512017757%,1105401326.26
0011151,001,1151,ADDOHA,ACT,568822,29.9,17007777.8,1.53860660340836%,1105401326.26
0011171,001,1171,ATLANTASANAD,ACT,11030,135,1489050,0.134706731810973%,1105401326.26
0011172,001,1172,SNEP,ACT,6541,458,2995778,0.271012701797263%,1105401326.26
0011179,001,1179,CMT,ACT,138,2100,289800,0.0262167226613076%,1105401326.26
0011180,001,1180,LABEL VIE,ACT,10811,4280,46271080,4.18590776949336%,1105401326.26
0011181,001,1181,ALLIANCES,ACT,35101,498,17480298,1.58135308731197%,1105401326.26
0011185,001,1185,DELTA HOLDING,ACT,70788,68,4813584,0.435460306193608%,1105401326.26
0011188,001,1188,BCP,ACT,145426,270,39265020,3.55210538174843%,1105401326.26
0011200,001,1200,SANLAM  MAROC,ACT,161,2095,337295,0.0305133522085774%,1105401326.26
0011208,001,1208,JET CONTRACTORS,ACT,2746,2600,7139600,0.645883068021641%,1105401326.26
