code_position,code_fonds,code_titre,description_titre,classe_titre,quantite_actif,cours,valo_titre_cv,poids_pct,actif_net,poids
001068,1,068,FCP ATTIJARI VALEURS ESG,OPC,80155.0,175.72,14084836.6,1.2741830740926%,1105401326.26,0.012741830740925999
001075,1,075,FCP WG MOMENTUM FACTOR FUND ,OPC,30000.0,174.67,5240100.0,0.4740450255953%,1105401326.26,0.0047404502559529995
0011001,1,1001,SONASID,ACT,5985.0,1985.0,11880225.0,1.07474314692523%,1105401326.26,0.0107474314692523
0011003,1,1003,MAROC LEASING ,ACT,10828.0,370.95,4016646.6,0.363365458732519%,1105401326.26,0.0036336545873251903
0011035,1,1035,CREDIT EQDOM,ACT,5459.0,1380.0,7533420.0,0.681509947657515%,1105401326.26,0.006815099476575151
0011036,1,1036,SOCIETE DE BOISSONS DU MAROC,ACT,374.0,2209.0,826166.0,0.0747390092967628%,1105401326.26,0.0007473900929676281
0011038,1,1038,CDM,ACT,18026.0,1040.0,18747040.0,1.69594875224444%,1105401326.26,0.016959487522444402
0011050,1,1050,CIMENTS DU MAROC,ACT,28533.0,1737.0,49561821.0,4.48360426413516%,1105401326.26,0.044836042641351596
0011080,1,1080,SAMIR ,ACT,11363.0,0.0,0.0,0%,1105401326.26,0.0
0011081,1,1081,BMCI,ACT,12458.0,629.0,7836082.0,0.708890229624791%,1105401326.26,0.00708890229624791
0011092,1,1092,WAFA ASSURANCE,ACT,12896.0,4900.0,63190400.0,5.71651204850618%,1105401326.26,0.0571651204850618
0011095,1,1095,AFRIQUIA GAZ ,ACT,3263.0,4099.0,13375037.0,1.20997113738346%,1105401326.26,0.012099711373834601
0011099,1,1099,REBAB COMPANY ,ACT,544.0,107.0,58208.0,0.00526577982287575%,1105401326.26,5.26577982287575e-05
0011105,1,1105,MANAGEM,ACT,11547.0,7550.0,87179850.0,7.88671480022221%,1105401326.26,0.0788671480022221
0011142,1,1142,DARI,ACT,2249.0,4300.0,9670700.0,0.874858729609066%,1105401326.26,0.00874858729609066
0011145,1,1145,CIH,ACT,86850.0,400.0,34740000.0,3.14274998362259%,1105401326.26,0.0314274998362259
0011146,1,1146,RISMA,ACT,9299.0,370.0,3440630.0,0.311256185266303%,1105401326.26,0.00311256185266303
0011148,1,1148,ITISSALAT AL MAGHRIB,ACT,741206.0,106.85,79197861.1,7.16462512017757%,1105401326.26,0.0716462512017757
0011151,1,1151,ADDOHA,ACT,568822.0,29.9,17007777.8,1.53860660340836%,1105401326.26,0.0153860660340836
0011171,1,1171,ATLANTASANAD,ACT,11030.0,135.0,1489050.0,0.134706731810973%,1105401326.26,0.0013470673181097301
0011172,1,1172,SNEP,ACT,6541.0,458.0,2995778.0,0.271012701797263%,1105401326.26,0.00271012701797263
0011179,1,1179,CMT,ACT,138.0,2100.0,289800.0,0.0262167226613076%,1105401326.26,0.000262167226613076
0011180,1,1180,LABEL VIE,ACT,10811.0,4280.0,46271080.0,4.18590776949336%,1105401326.26,0.0418590776949336
0011181,1,1181,ALLIANCES,ACT,35101.0,498.0,17480298.0,1.58135308731197%,1105401326.26,0.0158135308731197
0011185,1,1185,DELTA HOLDING,ACT,70788.0,68.0,4813584.0,0.435460306193608%,1105401326.26,0.00435460306193608
0011188,1,1188,BCP,ACT,145426.0,270.0,39265020.0,3.55210538174843%,1105401326.26,0.0355210538174843
0011200,1,1200,SANLAM  MAROC,ACT,161.0,2095.0,337295.0,0.0305133522085774%,1105401326.26,0.000305133522085774
