Code,Fonds ,
,ACTIONS GP,Poids Actions 
001,ATTIJARI PATRIMOINE VALEURS,100%
102,ATTIJARI ACTIONS,100%
008,ATTIJARI AL MOUCHARAKA,75%
018,PROFIL DYNAMIQUE,100%
205,CDM EXPANSION,100%
068,ATTIJARI VALEURS ESG,100%
057,FCP ATTIJARI DIVIDEND FUND,100%
026,PATRIMOINE AL MOUSSAHAMA,100%
075,WG MOMENTUM FACTOR FUND,100%
109,ATTIJARI FINANCES CORP VALEUR,
207,FCP Cdm DYNAMISME,50%
073,WG VALUE FACTOR FUND,40%
074,WG LOW VOLATILITY FACTOR FUND,20%
,ACTIONS Instit,
005,PATRIMOINE ACTIONS,50%
049,CMR ACTIONS,100%
046,FCP CIMR MOUBADARA,100%
025,WAFA ASSURANCE EXPANSION,100%
029,FCP WAFA ASSURANCE STRATEGI,100%
058,FCP WG EQUITY FUND,100%
,MANDATS ACTIONS ,
004,PATRIMOINE MULTIVALEURS,50%
032,ATTAKAFOUL,31%
031,FCP WG ACTIONS,50%
064,FCP WG CAPITAL,25%
066,FCP WG VALEURS,30%
067,FCP WG TAYSSIR,25%
,DIV GP,
113,ATTIJARI DIVERSIFIE,
015,PROFIL HARMONIE,100%
201,CDM OPTIMUM,100%
009,ATTIJARI PATRIMOINE DIVERSIFIE,100%
044,PROFIL FLEXIBLE,100%
069,ATTIJARI MIXED DISTRIBUTION,100%
,DIV Instit,
063,R-MIXT OPTIMUM,30%
016,WAFA ASSURANCE OPTIMISATION,30%
045,FCP AFAK CRP,30%
061,FCP WG FRUCTI PATRIMOINE,30%
209,FCP CDM PROFIL EQUILIBRE,30%
017,PALMARES FINANCIERES,30%
033,SICAV FRUCTI VALEURS,30%
,MANDATS DIV ,
022,SICAV WG CROISSANCE,30%
072,PATRIMOINE CROISSANCE,20%
108,ATTIJARI FINANCES CORP RENDEMENT,30%
055,FCP WG EPARGNE,30%
059,FCP WG BALANCED,30%
012,WG DYNAMIC,30%
065,WG OPPORTUNITES,30%
052,FCP WG HORIZON,30%
048,FCP UNIVERS DIVERSIFIE,30%
110,ATTIJARI SOLIDARITE,30%
054,FCP WG PERFORMANCE,30%
027,WG DIVERSIFIE,30%
107,CAPITAL PERFORMANCE,30%
040,FCP WG INVEST,30%
077,AWG CAPITAL CROISSANCE,30%
060,FCP WG RENDEMENT,30%
053,FCP WG SERENITE,30%
076,ATTIJARI PRIVATE FUND,30%
