code_fonds,nom_fonds,groupe,poids_actions
001,ATTIJARI PATRIMOINE VALEURS,ACTIONS GP,1.0
102,ATTIJARI ACTIONS,ACTIONS GP,1.0
008,ATTIJARI AL MOUCHARAKA,ACTIONS GP,0.75
018,PROFIL DYNAMIQUE,ACTIONS GP,1.0
205,CDM EXPANSION,ACTIONS GP,1.0
068,ATTIJARI VALEURS ESG,ACTIONS GP,1.0
057,FCP ATTIJARI DIVIDEND FUND,ACTIONS GP,1.0
026,PATRIMOINE AL MOUSSAHAMA,ACTIONS GP,1.0
075,WG MOMENTUM FACTOR FUND,ACTIONS GP,1.0
109,ATTIJARI FINANCES CORP VALEUR,ACTIONS GP,
207,FCP Cdm DYNAMISME,ACTIONS GP,0.5
073,WG VALUE FACTOR FUND,ACTIONS GP,0.4
074,WG LOW VOLATILITY FACTOR FUND,ACTIONS GP,0.2
005,PATRIMOINE ACTIONS,ACTIONS Instit,0.5
049,CMR ACTIONS,ACTIONS Instit,1.0
046,FCP CIMR MOUBADARA,ACTIONS Instit,1.0
025,WAFA ASSURANCE EXPANSION,ACTIONS Instit,1.0
029,FCP WAFA ASSURANCE STRATEGI,ACTIONS Instit,1.0
058,FCP WG EQUITY FUND,ACTIONS Instit,1.0
004,PATRIMOINE MULTIVALEURS,MANDATS ACTIONS,0.5
032,ATTAKAFOUL,MANDATS ACTIONS,0.31
031,FCP WG ACTIONS,MANDATS ACTIONS,0.5
064,FCP WG CAPITAL,MANDATS ACTIONS,0.25
066,FCP WG VALEURS,MANDATS ACTIONS,0.3
067,FCP WG TAYSSIR,MANDATS ACTIONS,0.25
113,ATTIJARI DIVERSIFIE,DIV GP,
015,PROFIL HARMONIE,DIV GP,1.0
201,CDM OPTIMUM,DIV GP,1.0
009,ATTIJARI PATRIMOINE DIVERSIFIE,DIV GP,1.0
044,PROFIL FLEXIBLE,DIV GP,1.0
069,ATTIJARI MIXED DISTRIBUTION,DIV GP,1.0
063,R-MIXT OPTIMUM,DIV Instit,0.3
016,WAFA ASSURANCE OPTIMISATION,DIV Instit,0.3
045,FCP AFAK CRP,DIV Instit,0.3
061,FCP WG FRUCTI PATRIMOINE,DIV Instit,0.3
209,FCP CDM PROFIL EQUILIBRE,DIV Instit,0.3
017,PALMARES FINANCIERES,DIV Instit,0.3
033,SICAV FRUCTI VALEURS,DIV Instit,0.3
022,SICAV WG CROISSANCE,MANDATS DIV,0.3
072,PATRIMOINE CROISSANCE,MANDATS DIV,0.2
108,ATTIJARI FINANCES CORP RENDEMENT,MANDATS DIV,0.3
055,FCP WG EPARGNE,MANDATS DIV,0.3
059,FCP WG BALANCED,MANDATS DIV,0.3
012,WG DYNAMIC,MANDATS DIV,0.3
065,WG OPPORTUNITES,MANDATS DIV,0.3
052,FCP WG HORIZON,MANDATS DIV,0.3
048,FCP UNIVERS DIVERSIFIE,MANDATS DIV,0.3
110,ATTIJARI SOLIDARITE,MANDATS DIV,0.3
054,FCP WG PERFORMANCE,MANDATS DIV,0.3
027,WG DIVERSIFIE,MANDATS DIV,0.3
107,CAPITAL PERFORMANCE,MANDATS DIV,0.3
040,FCP WG INVEST,MANDATS DIV,0.3
077,AWG CAPITAL CROISSANCE,MANDATS DIV,0.3
060,FCP WG RENDEMENT,MANDATS DIV,0.3
053,FCP WG SERENITE,MANDATS DIV,0.3
076,ATTIJARI PRIVATE FUND,MANDATS DIV,0.3
